what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1432889580268
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432889581450
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889582487
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432889585253
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432889587196
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432889589215
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889590733
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889598143
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889607292
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889607381
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889607494
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889612264
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1432889614181
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889623760
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889669464
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889673570
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889675941
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.moveResources",1432889675948
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432889677501
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432889680214
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1432889683866
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889684505
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889729762
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432889735247
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432889741965
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432889742510
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889747672
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889766976
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432889769771
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432889772565
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889774574
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889777096
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1432889786218
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889791003
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889792581
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432889800734
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1432889821905
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432889821906
closed,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1432889821938
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432889821961
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889832797
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889834253
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889834906
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889840097
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889847114
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889856913
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889858456
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889883772
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432889884331
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432890006622
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432890007917
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432890009325
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432890012404
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432890013339
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432890016445
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432890045882
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432890050502
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432890057494
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432890061779
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432890091854
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432890091907
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432890091977
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432890094338
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1432890096925
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432890097492
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432890097941
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432890099238
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432890108701
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432890109608
