what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1432604910179
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1432604910519
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1432604910839
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1432604913311
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432604913640
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432604915465
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432604916240
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432604918708
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432604923494
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432604925635
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432604926773
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432604927446
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432604932231
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432604932808
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432604935927
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432604938681
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432604939027
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432604944530
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432604945335
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432604979826
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432604980601
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432605003368
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432605015544
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432605015927
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432605016632
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432605016885
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432605020517
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432605025469
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432605025752
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432605029648
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432605034965
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432605036035
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432605038610
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432605040949
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432605044047
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432605058488
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432605058870
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432605060787
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432605069523
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432605083242
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432605131653
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432605134048
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432605136348
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432605138823
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1432605140187
