what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1433813342724
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1433813343569
closed,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1433813343569
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1433813358077
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433813362153
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433813363085
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433813364022
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433813367057
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433813372529
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433813374803
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1433813377954
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1433813380120
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1433813381696
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1433813385701
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1433813386698
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1433813387055
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1433813392684
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1433813393801
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1433813394050
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433813394723
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433813398405
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433813405357
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433813413462
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1433813415211
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1433813416112
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1433813416390
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433813419076
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433813421039
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1433813445251
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433813447521
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433813447653
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433813447764
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433813501095
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433813564571
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433813564738
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433813564835
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433813581188
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433813583189
