what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747716241
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747716957
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747717908
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1433747719663
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747722434
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747724765
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747727454
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1433747731824
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1433747731861
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747731905
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1433747735811
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1433747737701
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747738728
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747739321
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747739590
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747740969
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747741430
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747745298
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747758721
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747761250
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1433747765917
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1433747766814
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1433747769889
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747770308
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747772089
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747772954
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747775225
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747777428
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747778258
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747780574
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747781283
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1433747784801
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1433747786124
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747786664
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747788041
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747791192
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747791998
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1433747794955
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747795263
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747799130
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747802264
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1433747809168
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1433747810839
