what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432882374263
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432882374615
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432882375310
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432882380378
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432882381984
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432882423273
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432882425963
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.smartEnter",1432882426110
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432882426468
executed,command,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui.format.document",1432882427320
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432882428086
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1432882428789
executed,command,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui.format.document",1432882429328
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432882429895
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432882430683
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432882431405
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432882432246
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432882432724
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432882433716
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432882434176
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432882435326
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432882442366
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432882442639
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432882443966
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1432882452427
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432882452452
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1432882453030
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1432882454050
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1432882454276
