what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1432603376563
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1432603376563
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1432603376563
java.vm.specification.version,sysinfo,,,"1.0",1432603376563
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1432603376563
java.vm.version,sysinfo,,,"1.5.0_09-b01",1432603376563
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1432603378577
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1432603378933
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1432603386628
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432603388815
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1432603449730
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603453430
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432603457747
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432603457809
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603457881
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1432603458442
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1432603458570
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1432603458578
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432603461055
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.smartEnter",1432603463800
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432603465378
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432603478423
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432603480217
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432603485456
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432603490966
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432603508034
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432603512395
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432603520756
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432603523045
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432603529405
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432603529967
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1432603534086
executed,command,,,"AUTOGEN:::org.eclipse.php.editor.ruler.actions/org.eclipse.php.internal.ui.editor.PhpSelectRulerAction",1432603536644
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603540540
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603541104
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1432603541741
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1432603541765
started,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1432603541802
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603541938
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603571887
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432603574926
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1432603575125
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1432603575229
started,bundle,org.eclipse.jem.util,2.1.0.v201005130500,"org.eclipse.jem.util",1432603575267
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1432603575269
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1432603575304
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1432603575309
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603577972
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603579627
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432603583001
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603583575
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603584571
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603587581
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603588448
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603588702
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603591144
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603592547
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603593479
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432603596579
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432603606257
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432603607706
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432603610015
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603612158
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603621309
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603622608
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603623600
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432603625962
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603626704
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603627805
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432603633658
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1432603637175
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1432603637789
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1432603637857
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432603640022
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1432603640022
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1432603649495
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603654446
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603800474
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603804925
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603808359
executed,command,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui.phpServerShortcut.run",1432603808411
opened,view,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.debug.ui.PHPDebugOutput",1432603808505
activated,view,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.debug.ui.PHPDebugOutput",1432603808575
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603808750
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603814506
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603815731
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603817229
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603818601
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603820879
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603827399
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603828158
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432603830550
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603834763
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603846806
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603849053
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603850863
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432603851408
