what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.ui",1434095228256
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1434095228566
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1434095228603
started,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1434095228615
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1434095228622
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1434095228683
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1434095228718
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.300.v201004150625,"org.eclipse.wst.jsdt.web.core",1434095228750
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1434095228753
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1434095228764
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1434095228772
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1434095228854
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1434095228878
os,sysinfo,,,"win32",1434095228885
arch,sysinfo,,,"x86",1434095228885
ws,sysinfo,,,"win32",1434095228885
locale,sysinfo,,,"zh_CN",1434095228885
processors,sysinfo,,,"4",1434095228885
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1434095228885
java.runtime.version,sysinfo,,,"1.5.0_09-b01",1434095228885
java.specification.name,sysinfo,,,"Java Platform API Specification",1434095228885
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1434095228885
java.specification.version,sysinfo,,,"1.5",1434095228885
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1434095228885
java.version,sysinfo,,,"1.5.0_09",1434095228886
java.vm.info,sysinfo,,,"mixed mode",1434095228886
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1434095228886
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1434095228886
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1434095228886
java.vm.specification.version,sysinfo,,,"1.0",1434095228886
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1434095228886
java.vm.version,sysinfo,,,"1.5.0_09-b01",1434095228886
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1434095230001
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1434095230100
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1434095230476
activated,view,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.debug.ui.PHPDebugOutput",1434095251517
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434095252424
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434095279795
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434095281005
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434095322392
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434095323245
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434095336561
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434095338561
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434095342295
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434095353610
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434095355877
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434095356413
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434095357171
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1434095358586
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434095362543
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434095684345
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434095685048
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434097071361
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434097071908
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434097072930
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434097073057
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1434097073932
activated,perspective,org.eclipse.php.ui,,"org.eclipse.php.perspective",1434595881609
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1434595881610
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1434595881654
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1434595881661
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1434595881670
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1434595881683
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1434595881691
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1434595881727
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1434595881728
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1434595881751
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1434595881764
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1434595881766
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1434595881777
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1434595881778
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1434595881779
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1434595881786
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1434595881793
started,bundle,org.eclipse.dltk.core,2.0.0.v20100603-0936,"org.eclipse.dltk.core",1434595881822
started,bundle,org.eclipse.dltk.core.index.sql,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql",1434595881823
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql.h2",1434595881823
started,bundle,org.eclipse.dltk.launching,2.0.0.v20100524-0038,"org.eclipse.dltk.launching",1434595881880
started,bundle,org.eclipse.dltk.rse.core,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.core",1434595881950
started,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1434595881951
started,bundle,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui",1434595881958
started,bundle,org.eclipse.emf.common,2.6.0.v20100614-1136,"org.eclipse.emf.common",1434595881973
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1434595881991
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1434595882005
started,bundle,org.eclipse.equinox.app,1.3.0.v20100512,"org.eclipse.equinox.app",1434595882050
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1434595882052
started,bundle,org.eclipse.equinox.ds,1.2.0.v20100507,"org.eclipse.equinox.ds",1434595882102
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1434595882184
started,bundle,org.eclipse.equinox.p2.core,2.0.0.v20100510,"org.eclipse.equinox.p2.core",1434595882210
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.200.v20100601,"org.eclipse.equinox.p2.directorywatcher",1434595882279
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1434595882322
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1434595882363
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1434595882422
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1434595882453
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1434595882501
started,bundle,org.eclipse.equinox.p2.repository,2.0.0.v20100519,"org.eclipse.equinox.p2.repository",1434595882517
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1434595882534
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1434595882562
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1434595882606
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1434595882645
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1434595882688
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1434595882695
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1434595882714
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1434595882725
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1434595882756
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1434595882774
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1434595882806
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1434595882819
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1434595882819
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1434595882820
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1434595882848
started,bundle,org.eclipse.php.core,2.2.0.v20100616-1900,"org.eclipse.php.core",1434595882856
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1434595882876
started,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1434595882890
started,bundle,org.eclipse.rse.core,3.1.100.v201003151933,"org.eclipse.rse.core",1434595882906
started,bundle,org.eclipse.rse.services,3.2.0.v201006041352,"org.eclipse.rse.services",1434595882918
started,bundle,org.eclipse.rse.ui,3.1.100.v201005282245,"org.eclipse.rse.ui",1434595882930
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1434595882949
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1434595882954
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1434595882967
