what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1433746174365
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1433746174396
started,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1433746174428
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1433746174428
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1433746174443
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1433746174490
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.300.v201004150625,"org.eclipse.wst.jsdt.web.core",1433746174521
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1433746174568
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1433746174584
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1433746174630
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1433746174646
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1433746174662
os,sysinfo,,,"win32",1433746174677
arch,sysinfo,,,"x86",1433746174677
ws,sysinfo,,,"win32",1433746174677
locale,sysinfo,,,"zh_CN",1433746174677
processors,sysinfo,,,"4",1433746174677
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1433746174677
java.runtime.version,sysinfo,,,"1.5.0_09-b01",1433746174677
java.specification.name,sysinfo,,,"Java Platform API Specification",1433746174677
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1433746174677
java.specification.version,sysinfo,,,"1.5",1433746174677
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1433746174677
java.version,sysinfo,,,"1.5.0_09",1433746174677
java.vm.info,sysinfo,,,"mixed mode",1433746174677
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1433746174677
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1433746174677
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1433746174677
java.vm.specification.version,sysinfo,,,"1.0",1433746174677
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1433746174677
java.vm.version,sysinfo,,,"1.5.0_09-b01",1433746174677
